DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2010-03-06,2850.0,5.0,3.0,9,6.0,1.0,2836.6666666666665,2826.0,2815.714285714286,2850.0,2810.0,2790.0,23.094010767586155,21.908902300206645,25.071326821115385
2010-03-07,2850.0,6.0,3.0,9,7.0,1.0,2850.0,2834.0,2824.285714285714,2850.0,2810.0,2810.0,0.0,21.908902300206645,25.071326821115047
2010-03-08,2850.0,0.0,3.0,10,8.0,1.0,2850.0,2842.0,2832.8571428571427,2850.0,2850.0,2810.0,0.0,17.88854381999832,21.380899352987367
2010-03-09,2850.0,1.0,3.0,10,9.0,1.0,2850.0,2850.0,2838.5714285714284,2850.0,2850.0,2810.0,0.0,0.0,19.518001458963212
2010-03-10,2920.0,2.0,3.0,10,10.0,1.0,2873.3333333333335,2864.0,2854.285714285714,2850.0,2850.0,2850.0,40.41451884327442,31.304951684997057,32.58688021128195
2010-03-11,2920.0,3.0,3.0,10,11.0,1.0,2896.6666666666665,2878.0,2870.0,2920.0,2850.0,2850.0,40.41451884327442,38.34057902536163,34.15650255319343
2010-03-12,2970.0,4.0,3.0,10,12.0,1.0,2936.6666666666665,2902.0,2887.1428571428573,2920.0,2850.0,2850.0,28.867513459482307,51.67204273105525,49.232200070778134
2010-03-13,2970.0,5.0,3.0,10,13.0,1.0,2953.3333333333335,2926.0,2904.285714285714,2970.0,2920.0,2850.0,28.867513459482307,49.29503017546495,54.72876844254443
2010-03-14,2970.0,6.0,3.0,10,14.0,1.0,2970.0,2950.0,2921.4285714285716,2970.0,2920.0,2850.0,0.0,27.386127875258307,53.67450401216464
2010-03-15,2940.0,0.0,3.0,11,15.0,1.0,2960.0,2954.0,2934.285714285714,2970.0,2970.0,2920.0,17.320508075690363,23.021728866442675,43.53433237385811
2010-03-16,2940.0,1.0,3.0,11,16.0,1.0,2950.0,2958.0,2947.1428571428573,2940.0,2970.0,2920.0,17.320508075690363,16.431676725154983,22.886885410840424
2010-03-17,3000.0,2.0,3.0,11,17.0,1.0,2960.0,2964.0,2958.5714285714284,2940.0,2970.0,2970.0,34.64101615137834,25.099800796022265,26.72612419123097
2010-03-18,3000.0,3.0,3.0,11,18.0,1.0,2980.0,2970.0,2970.0,3000.0,2940.0,2970.0,34.64101615137834,30.0,24.494897427818596
2010-03-19,2940.0,4.0,3.0,11,19.0,1.0,2980.0,2964.0,2965.714285714286,3000.0,2940.0,2970.0,34.64101615137834,32.863353450309965,26.992062325261433
2010-03-20,2940.0,5.0,3.0,11,20.0,1.0,2960.0,2964.0,2961.4285714285716,2940.0,3000.0,2940.0,34.64101615137834,32.863353450309965,28.535691936329467
2010-03-21,2940.0,6.0,3.0,11,21.0,1.0,2940.0,2964.0,2957.1428571428573,2940.0,3000.0,2940.0,0.0,32.863353450309965,29.277002188445746
2010-03-22,2920.0,0.0,3.0,12,22.0,1.0,2933.3333333333335,2948.0,2954.285714285714,2940.0,2940.0,3000.0,11.547005383794964,30.331501776206203,32.07134902948175
2010-03-23,2860.0,1.0,3.0,12,23.0,1.0,2906.6666666666665,2920.0,2942.8571428571427,2920.0,2940.0,3000.0,41.633319989323276,34.64101615137755,48.205907561303945
2010-03-24,2960.0,2.0,3.0,12,24.0,1.0,2913.3333333333335,2924.0,2937.1428571428573,2860.0,2940.0,2940.0,50.332229568472094,38.47076812334269,42.31401884099016
