DATE,price_per_kg,day_of_week,month,week_of_year,day_of_month,season,rolling_mean_3,rolling_mean_5,rolling_mean_7,lag_1,lag_3,lag_5,rolling_std_3,rolling_std_5,rolling_std_7
2024-04-12,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-13,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-14,5364.0,0.0,2.0,9,26.0,0.0,5288.0,5210.4,5003.428571428572,5250.0,5250.0,4478.0,65.81793068786821,160.07748123952325,376.89028339052726
2024-04-15,5354.0,0.0,4.0,16,15.0,1.0,5322.666666666667,5293.6,5126.285714285715,5364.0,5250.0,4938.0,63.12949653978715,59.80635417737503,318.8530038985678
2024-04-16,5056.0,1.0,4.0,16,16.0,1.0,5258.0,5254.8,5208.857142857143,5354.0,5250.0,5250.0,175.00857121876186,123.8272990902642,156.4943327739869
2024-04-17,4934.0,2.0,4.0,16,17.0,1.0,5114.666666666667,5191.6,5208.285714285715,5056.0,5364.0,5250.0,216.05863401716476,189.9020800307094,157.65121237023186
2024-04-18,4964.0,3.0,4.0,16,18.0,1.0,4984.666666666667,5134.4,5167.428571428572,4934.0,5354.0,5250.0,63.57148207616981,209.93046467816473,180.450230573935
2024-04-19,4898.0,4.0,4.0,16,19.0,1.0,4932.0,5041.2,5117.142857142857,4964.0,5056.0,5364.0,33.04542328411728,184.40498908649545,201.4310705685162
2024-04-20,4898.0,5.0,4.0,16,20.0,1.0,4920.0,4950.0,5066.857142857143,4898.0,4934.0,5354.0,38.10511776685983,65.37583651465474,206.60705745540344
2024-04-21,4898.0,6.0,4.0,16,21.0,1.0,4898.0,4918.4,5000.285714285715,4898.0,4964.0,5056.0,0.0,29.879759035022186,165.98967265609653
2024-04-22,4742.0,0.0,4.0,17,22.0,1.0,4846.0,4880.0,4912.857142857143,4898.0,4898.0,4934.0,90.06664199371971,82.26785520475872,94.34586825639354
2024-04-23,4450.0,1.0,4.0,17,23.0,1.0,4696.666666666667,4777.2,4826.285714285715,4742.0,4898.0,4964.0,227.4144527802828,194.98512763796,180.13487010705205
2024-04-24,4434.0,2.0,4.0,17,24.0,1.0,4542.0,4684.4,4754.857142857143,4450.0,4898.0,4898.0,173.38973441360162,230.33193439033133,224.0769425674849
2024-04-25,4304.0,3.0,4.0,17,25.0,1.0,4396.0,4565.6,4660.571428571428,4434.0,4742.0,4898.0,80.07496487677393,245.3177531284524,257.7355603085034
2024-04-26,4604.0,4.0,4.0,17,26.0,1.0,4447.333333333333,4506.8,4618.571428571428,4304.0,4450.0,4898.0,150.44378795201482,169.13071867639104,235.60054976069074
2024-04-27,4604.0,5.0,4.0,17,27.0,1.0,4504.0,4479.2,4576.571428571428,4604.0,4434.0,4742.0,173.2050807569412,127.2210674377188,201.17559257410238
2024-04-28,4604.0,6.0,4.0,17,28.0,1.0,4604.0,4510.0,4534.571428571428,4604.0,4304.0,4450.0,0.0,136.67479650613154,146.01239347241298
2024-04-29,4404.0,0.0,4.0,18,29.0,1.0,4537.333333333333,4504.0,4486.285714285715,4604.0,4604.0,4434.0,115.47005383800827,141.42135623728296,119.45670664232384
2024-04-30,4692.0,1.0,4.0,18,30.0,1.0,4566.666666666667,4581.6,4520.857142857143,4404.0,4604.0,4304.0,147.58500375496516,106.34284179009039,140.38925477780353
2024-05-01,4692.0,2.0,5.0,18,1.0,1.0,4596.0,4599.2,4557.714285714285,4692.0,4604.0,4604.0,166.27687752667325,117.65712898074695,147.47396864699283
2024-05-02,4696.0,3.0,5.0,18,2.0,1.0,4693.333333333333,4617.6,4613.714285714285,4692.0,4404.0,4604.0,2.3094010815454187,125.52609290498953,102.70623850814593
2024-05-03,4840.0,4.0,5.0,18,3.0,1.0,4742.666666666667,4664.8,4647.428571428572,4696.0,4692.0,4604.0,84.31686268686911,159.03207223699224,133.1951665071666
2024-05-04,4840.0,5.0,5.0,18,4.0,1.0,4792.0,4752.0,4681.142857142857,4840.0,4692.0,4404.0,83.13843876344994,80.3492377063505,149.26869349284527
2024-05-05,4840.0,6.0,5.0,18,5.0,1.0,4840.0,4781.6,4714.857142857143,4840.0,4696.0,4692.0,0.0,79.9799974993217,155.46428161175683
2024-05-06,4840.0,0.0,5.0,19,6.0,1.0,4840.0,4811.2,4777.142857142857,4840.0,4840.0,4692.0,0.0,64.39875775192718,78.40796849634455
2024-05-07,4600.0,1.0,5.0,19,7.0,1.0,4760.0,4792.0,4764.0,4840.0,4840.0,4696.0,138.56406460559433,107.33126291995023,99.83987179436262
2024-05-08,4822.0,2.0,5.0,19,8.0,1.0,4754.0,4788.4,4782.571428571428,4600.0,4840.0,4840.0,133.67123849214238,105.6068179616804,96.24076950128638
2024-05-09,4708.0,3.0,5.0,19,9.0,1.0,4710.0,4762.0,4784.285714285715,4822.0,4840.0,4840.0,111.01351269112416,105.98113039589455,94.53344079470172
2024-05-10,4562.0,4.0,5.0,19,10.0,1.0,4697.333333333333,4706.4,4744.571428571428,4708.0,4600.0,4840.0,130.32779186864,125.88407365505701,121.71395036807098
2024-05-11,4562.0,5.0,5.0,19,11.0,1.0,4610.666666666667,4650.8,4704.857142857143,4562.0,4822.0,4840.0,84.29313930180794,112.84148173429844,130.42932769790187
2024-05-12,4562.0,6.0,5.0,19,12.0,1.0,4562.0,4643.2,4665.142857142857,4562.0,4708.0,4600.0,0.0,118.26749342060161,124.6159815475593
2024-05-13,4428.0,0.0,5.0,20,13.0,1.0,4517.333333333333,4564.4,4606.285714285715,4562.0,4562.0,4822.0,77.36493607153257,99.04948258316315,125.55704451958347
2024-05-14,4180.0,1.0,5.0,20,14.0,1.0,4390.0,4458.8,4546.285714285715,4428.0,4562.0,4708.0,193.81434415444238,166.30453992598245,204.55945695199512
2024-05-15,4180.0,2.0,5.0,20,15.0,1.0,4262.666666666667,4382.4,4454.571428571428,4180.0,4562.0,4562.0,143.18286675907706,192.693539071742,204.2603380840569
2024-05-16,4158.0,3.0,5.0,20,16.0,1.0,4172.666666666667,4301.6,4376.0,4180.0,4428.0,4562.0,12.70170592266932,183.0158463084365,196.14960276941022
2024-05-17,4350.0,4.0,5.0,20,17.0,1.0,4229.333333333333,4259.2,4345.714285714285,4158.0,4180.0,4562.0,105.0777489925768,121.98852405039327,178.18877095701086
2024-05-18,4350.0,5.0,5.0,20,18.0,1.0,4286.0,4243.6,4315.428571428572,4350.0,4180.0,4428.0,110.85125168447435,97.54383629934519,151.286546155143
2024-05-19,4350.0,6.0,5.0,20,19.0,1.0,4350.0,4277.6,4285.142857142857,4350.0,4158.0,4180.0,0.0,99.44244566578868,109.01288696178926
2024-05-20,4180.0,0.0,5.0,21,20.0,1.0,4293.333333333333,4277.6,4249.714285714285,4350.0,4350.0,4180.0,98.1495457623121,99.44244566578868,94.1306083508817
2024-05-21,4068.0,1.0,5.0,21,21.0,1.0,4199.333333333333,4259.6,4233.714285714285,4180.0,4350.0,4158.0,141.99061001822102,129.96461056762104,115.13139491543714
2024-05-22,4048.0,2.0,5.0,21,22.0,1.0,4098.666666666667,4199.2,4214.857142857143,4068.0,4350.0,4350.0,71.14304838383532,146.56466149789867,134.5652612071424
2024-05-23,4034.0,3.0,5.0,21,23.0,1.0,4050.0,4136.0,4197.142857142857,4048.0,4180.0,4350.0,17.08800749094275,132.7629466379602,150.51403984483906
2024-05-24,4014.0,4.0,5.0,21,24.0,1.0,4032.0,4068.8,4149.142857142857,4034.0,4068.0,4350.0,17.08800749093329,65.21656231352722,147.1817794104134
2024-05-25,4014.0,5.0,5.0,21,25.0,1.0,4020.6666666666665,4035.6,4101.142857142857,4014.0,4048.0,4180.0,11.547005384225004,23.12574323117754,123.67083807598857
2024-05-26,4014.0,6.0,5.0,21,26.0,1.0,4014.0,4024.8,4053.1428571428573,4014.0,4034.0,4068.0,0.0,15.594870951515185,59.5858724062944
2024-05-27,3596.0,0.0,5.0,22,27.0,1.0,3874.6666666666665,3934.4,3969.714285714286,4014.0,4014.0,4048.0,241.33241252127874,189.36948011755993,166.06596509173963
2024-05-28,3556.0,1.0,5.0,22,28.0,1.0,3722.0,3838.8,3896.5714285714284,3596.0,4014.0,4034.0,253.66907576605504,240.3189547247479,219.66554664057188
2024-05-29,3248.0,2.0,5.0,22,29.0,1.0,3466.6666666666665,3685.6,3782.285714285714,3556.0,4014.0,4014.0,190.42408811212223,328.63779453981897,315.1199318172759
